sample_name	treatment	fwd_read	rev_read
16	LGV 12	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S16_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S16_R2.fastq.gz
17	LGV 12	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S17_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S17_R2.fastq.gz
18	LGV 12	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S18_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S18_R2.fastq.gz
19	HV 12	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S19_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S19_R2.fastq.gz
20	HV 12	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S20_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S20_R2.fastq.gz
21	HV 12	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S21_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S21_R2.fastq.gz
22	LGV 24	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S22_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S22_R2.fastq.gz
23	LGV 24	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S23_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S23_R2.fastq.gz
24	LGV 24	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S24_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S24_R2.fastq.gz
25	HV 24	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S25_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S25_R2.fastq.gz
26	HV 24	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S26_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S26_R2.fastq.gz
27	HV 24	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S27_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S27_R2.fastq.gz
28	Control 24	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S28_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S28_R2.fastq.gz
29	Control 24	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S29_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S29_R2.fastq.gz
30	Control 24	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S30_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S30_R2.fastq.gz
31	Control 36	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S31_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S31_R2.fastq.gz
32	Control 36	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S32_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S32_R2.fastq.gz
33	Control 36	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S33_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S33_R2.fastq.gz
34	LGV 36	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S34_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S34_R2.fastq.gz
35	LGV 36	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S35_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S35_R2.fastq.gz
36	LGV 36	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S36_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S36_R2.fastq.gz
37	HV 36	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S37_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S37_R2.fastq.gz
38	HV 36	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S38_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S38_R2.fastq.gz
39	HV 36	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S39_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S39_R2.fastq.gz
40	LG 24	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S40_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S40_R2.fastq.gz
41	LG 24	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S41_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S41_R2.fastq.gz
42	LG 24	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S42_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S42_R2.fastq.gz
43	LG 36	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S43_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S43_R2.fastq.gz
44	LG 36	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S44_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S44_R2.fastq.gz
45	LG 36	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S45_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S45_R2.fastq.gz
46	Control 24	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S46_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S46_R2.fastq.gz
47	Control 36	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S47_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S47_R2.fastq.gz
48	Control 0	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S48_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S48_R2.fastq.gz
