sample_name	treatment	fwd_read	rev_read
S29	Control 24	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S29_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S29_R2.fastq.gz
S30	Control 24	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S30_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S30_R2.fastq.gz
S31	Control 36	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S31_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S31_R2.fastq.gz
S32	Control 36	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S32_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S32_R2.fastq.gz
S33	Control 36	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S33_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S33_R2.fastq.gz
S34	LGV 36	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S34_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S34_R2.fastq.gz
S35	LGV 36	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S35_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S35_R2.fastq.gz
S36	LGV 36	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S36_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S36_R2.fastq.gz
S37	HV 36	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S37_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S37_R2.fastq.gz
S38	HV 36	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S38_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S38_R2.fastq.gz
S39	HV 36	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S39_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S39_R2.fastq.gz
S40	LG 24	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S40_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S40_R2.fastq.gz
S41	LG 24	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S41_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S41_R2.fastq.gz
S42	LG 24	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S42_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S42_R2.fastq.gz
S43	LG 36	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S43_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S43_R2.fastq.gz
S44	LG 36	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S44_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S44_R2.fastq.gz
S45	LG 36	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S45_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S45_R2.fastq.gz
S46	Control 24	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S46_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S46_R2.fastq.gz
S47	Control 36	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S47_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S47_R2.fastq.gz
S48	Control 0	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S48_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S48_R2.fastq.gz
